id,mes,central,agente,descripcion,tecnologia_descripcion,tecnologia,factor_disp_tec_porcentaje,fecha_proceso,lote_id_log,indice_tiempo
122013,2,ARIS,CTARIVSG,CT ARISTOBU.DEL VALLE-SOENERGY,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-02-01
122014,2,ARMA,CTLARM2G,CT LAS ARMAS II - EMGASUD,Turbina a gas,TG,1.0,2020-05-05 11:07:57.624983,67,2017-02-01
122015,2,ARMA,CTLARMAG,CT LAS ARMAS - EMGASUD,Turbina a gas,TG,1.0,2020-05-05 11:07:57.624983,67,2017-02-01
122016,2,ARRE,CTARREAG,CT ARRECIFES-AGGREKO,Motor Diesel,DI,0.863433609958506,2020-05-05 11:07:57.624983,67,2017-02-01
122017,2,AVAL,CTALVALG,C.TERMICA ALTO VALLE,Ciclos Combinados,CC,0.8376982029598308,2020-05-05 11:07:57.624983,67,2017-02-01
122018,2,AVAL,CTALVALG,C.TERMICA ALTO VALLE,Turbina a gas,TG,0.972865651886168,2020-05-05 11:07:57.624983,67,2017-02-01
122019,2,BARI,CTBARISG,CT BARILOCHE,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-02-01
122020,2,BBLA,CPBUENAG,CENTRAL PIEDRABUENA S.A.,Turbovapor,TV,0.528192941652341,2020-05-05 11:07:57.624983,67,2017-02-01
122021,2,BLOP,CTBRILOG,CT BRIGADIER LOPEZ,Turbina a gas,TG,1.0,2020-05-05 11:07:57.624983,67,2017-02-01
122022,2,BRAG,CTBRAGAG,CT BRAGADO - EMGASUD,Turbina a gas,TG,0.9996615905245346,2020-05-05 11:07:57.624983,67,2017-02-01
122023,2,BROW,TGBROWNG,TERMOELECTRICA GUILLERMO BROWN,Turbina a gas,TG,0.9126447396462316,2020-05-05 11:07:57.624983,67,2017-02-01
122024,2,BSAS,CCOSTANG,ENDESA COSTANERA SA,Ciclos Combinados,CC,0.7735047009401881,2020-05-05 11:07:57.624983,67,2017-02-01
122025,2,BVIL,CTBELLSG,CT BELL VILLE - SULLAIR,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-02-01
122026,2,CARL,EPECORDG,EPEC GENERACION,Motor Diesel,DI,0.9251851851851852,2020-05-05 11:07:57.624983,67,2017-02-01
122027,2,CAST,CTCASTAG,CT CASTELLI - AGGREKO,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-02-01
122028,2,CATA,EDECATKG,EDECAT GENERACION,Motor Diesel,DI,0.827114577084583,2020-05-05 11:07:57.624983,67,2017-02-01
122029,2,CATD,CTCATASG,CT CATAMARCA - SECCO,Motor Diesel,DI,0.8872188699945145,2020-05-05 11:07:57.624983,67,2017-02-01
122030,2,CAVI,CTCAVISG,CT CAVIAHUE - SECCO,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-02-01
122031,2,CDPI,CTMENZAG,C. TERMICAS MENDOZA SA,Turbina a gas,TG,0.0,2020-05-05 11:07:57.624983,67,2017-02-01
122032,2,CERE,CTCERSSG,CT CERES - SECCO,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-02-01
